conv_id,task,task_id,conv_type,assistant_model,is_correct_raw,is_correct,final_score,first_correct,num_answer_attempts,num_user_turns,num_assistant_turns,num_clarifications,num_discussions,num_answer_resp,num_shards,num_layers,mean_delta,max_delta,final_cumulative,peak_delta_shard,pre_answer_len
69c8f4b2ac5b701f2f1e24fb,math,sharded-GSM8K/932,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,False,False,0.0,,0,6,6,2,2,0,5,5,0.15880685329437255,0.288683557510376,0.5210113883018493,0,6
69c8f4dcac5b701f2f1e24fc,math,sharded-GSM8K/1240,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,1,6,6,0,3,1,5,5,0.19759377002716066,0.3338717222213745,0.4546006739139557,0,5
69c8f765ac5b701f2f1e24fe,math,sharded-GSM8K/929,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,True,1,5,5,2,1,1,4,5,0.16559678316116333,0.29568870067596437,0.4996230900287628,0,4
69c8f77eac5b701f2f1e24ff,math,sharded-GSM8K/237,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,,2,5,5,0,1,2,4,5,0.2031420052051544,0.3916886806488037,0.5218235611915588,0,2
69c8f78fac5b701f2f1e2500,math,sharded-GSM8K/871,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,False,False,0.0,,0,5,5,1,3,0,4,5,0.1955457329750061,0.3335954785346985,0.484246152639389,0,5
69c8f824ac5b701f2f1e2505,math,sharded-GSM8K/1124,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,True,1,6,6,2,3,1,5,5,0.14507594108581545,0.37479480504989626,0.5547834694385528,0,5
69c8f848ac5b701f2f1e2507,math,sharded-GSM8K/1066,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,2,5,5,1,1,2,4,5,0.2150310844182968,0.3002352237701416,0.43761278986930846,0,2
69c8f86aac5b701f2f1e2508,math,sharded-GSM8K/621,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,,3,6,6,3,0,3,5,5,0.2044206166267395,0.3160950422286987,0.46016049981117246,0,3
69c8f880ac5b701f2f1e2509,math,sharded-GSM8K/315,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,4,5,5,1,0,4,4,5,0.21840638518333433,0.355705726146698,0.4561100363731384,0,1
69c8f8e1ac5b701f2f1e250c,math,sharded-GSM8K/420,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,,2,5,5,3,0,2,4,5,0.2310069054365158,0.317953884601593,0.5166094124317169,0,3
69c8f907ac5b701f2f1e250d,math,sharded-GSM8K/961,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,,2,5,5,0,2,2,4,5,0.17554582357406617,0.3302363634109497,0.5153986394405365,0,3
69c8f923ac5b701f2f1e250e,math,sharded-GSM8K/417,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,1,5,5,3,1,1,4,5,0.22227063477039335,0.33506176471710203,0.4358809173107147,0,4
69c8f967ac5b701f2f1e2511,math,sharded-GSM8K/953,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,3,5,5,2,0,3,4,5,0.20295842587947843,0.3116633415222168,0.46374937891960144,0,2
69c8f9a5ac5b701f2f1e2514,math,sharded-GSM8K/913,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,True,1,6,6,2,3,1,5,5,0.14492786169052124,0.3319979190826416,0.47950623631477357,0,5
69c8f9c0ac5b701f2f1e2515,math,sharded-GSM8K/825,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,2,5,5,3,0,2,4,5,0.174710151553154,0.26815907955169677,0.5622691094875336,0,2
69c8fa67ac5b701f2f1e2518,math,sharded-GSM8K/646,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,1,5,5,1,2,1,4,5,0.185607573390007,0.2720268130302429,0.5234892785549163,0,4
69c8fb12ac5b701f2f1e251a,math,sharded-GSM8K/510,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,False,False,0.0,,0,5,5,0,5,0,4,5,0.19304392635822296,0.2621585249900818,0.4598238468170166,0,5
69c8fb7bac5b701f2f1e251d,math,sharded-GSM8K/201,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,True,True,1.0,True,1,5,5,3,0,1,4,5,0.18362907767295839,0.3498563289642334,0.43138166666030886,0,4
69c8fb96ac5b701f2f1e251e,math,sharded-GSM8K/855,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,1,5,5,2,1,1,4,5,0.1929562419652939,0.34340476989746094,0.5456563651561737,0,4
69c908a9ac5b701f2f1e2521,math,sharded-GSM8K/122,sharded-at0-ut0,meta-llama/Llama-3.1-8B-Instruct,,False,0.0,,1,5,5,0,0,1,4,5,0.29471359252929685,0.34177838563919066,0.468332314491272,0,4
